Filing Date,Last Hearing Date,Description,Judge,Current High Court,IPC Section,Degree of Alleged Perpetrator,days,Random Priority,
12-04-2019,21-03-2020,Lurking house-trespass or house-breaking in order to commit offence punishable with imprisonment,Abdullah Gulamahmed Uraizee,Gujarat,Section 454,5,344,8,
03-03-2018,13-12-2018,Obstructing public servant in discharge of public functions,Ashok Kumar Verma,Punjab and Haryana,Section 186,1,285,3,
07-07-2019,15-01-2020,Criminal intimidation by an anonymous communication,Songkhupchung Serto,Gauhati,Section 507,3,192,12,
22-04-2017,13-08-2017,Adultery,Bopuddi Krishna Mohan,Andhra Pradesh,Section 497,5,113,3,
20-10-2017,14-11-2018,"Waging, or attempting to wage war, or abetting waging of war, against the Government of India",Rao Raghunandan Rao,Andhra Pradesh,Section 121,2,390,4,
19-12-2019,24-11-2020,Consent known to be given under fear or misconception,Sudhanshu Dhulia (CJ),Gauhati,Section 90,2,341,18,
19-04-2018,21-08-2018,Act of Judge when acting judicially,Deepak Roshan,Jharkhand,Section 77,3,124,6,
26-10-2017,17-12-2018,Attempt to commit robbery,Ashok Kumar Gaur,Rajasthan,Section 393,1,417,6,
10-05-2019,02-04-2020,Being member of unlawful assembly,Birendra Kumar,Patna,Section 142,5,328,7,
05-06-2019,13-07-2019,Making a false mark upon any receptacle containing goods,Annireddy Abhishek Reddy,Telangana,Section 487,4,38,9,
17-03-2018,11-05-2018,Resistance or obstruction to lawful apprehension of another person,Alka Sarin,Punjab and Haryana,Section 225,4,55,7,
28-01-2017,29-05-2017,Grievous hurt caused whilst committing lurking house trespass or house-breaking,Krishnan Natarajan,Karnataka,Section 459,1,121,1,
31-07-2018,09-11-2019,Transportation instead of imprisonment,Padmaraj Balakrishnannair Suresh Kumar,Kerala,Section 59,1,466,10,
17-10-2019,11-02-2021,Destruction of document or electronic record to prevent its production as sevidence,Joymalya Bagchi,Calcutta,Section 204,4,483,14,
27-10-2017,08-12-2017,House-trespass in order to commit offence punishable with imprisonment,N. Sathish Kumar,Madras,Section 451,4,42,1,
05-11-2017,23-01-2018,Resistance or obstruction by a person to his lawful apprehension,Sanjay Agrawal,Chhattisgarh,Section 224,4,79,3,
07-01-2018,03-12-2018,Liability of abettor for an effect caused by the act abetted different from that intended by the abettor,M. S. Ramesh,Madras,Section 113,1,330,4,
19-12-2018,24-07-2019,Attempt to commit robbery,Bibhas Ranjan De,Calcutta,Section 393,4,217,10,
19-12-2018,15-04-2019,Assault or criminal force to deter public servant from discharge of his duty,Bopuddi Krishna Mohan,Andhra Pradesh,Section 353,3,117,9,
20-10-2018,25-11-2019,"Resistance or obstruction to lawful apprehension, or escape or rescue in cases not otherwise provided for",Dr. G. Jayachandran,Madras,Section 225B,4,401,9,
17-08-2019,28-03-2020,Giving or fabricating false evidence with intent to procure conviction of offence punishable with imprisonment for life or imprisonment,Byrareddy Veerappa,Karnataka,Section 195,3,224,11,
19-08-2017,05-11-2018,Forgery,R. M. T. Teeka Raman,Madras,Section463,2,443,6,
11-01-2017,20-04-2017,Abettor when liable to cumulative punishment for act abetted and for act done,Meenakshi Madan Rai,Sikkim,Section 112,3,99,1,
25-08-2017,17-11-2018,"Wrongful confinement to extort property, or constrain to illegal act",Manish Kumar,Allahabad,Section 347,4,449,7,
07-12-2019,20-10-2020,Act of a child under seven years of age,Manoj Kumar Gupta,Allahabad,Section 82,5,318,19,
05-04-2020,24-05-2021,Act of a child above seven and under twelve of immature understanding,B. Pugalendhi,Madras,Section 83,2,414,10,
06-02-2017,02-12-2017,Deserter concealed on board merchant vessel through negligence of master,Narendra Singh Dhaddha,Rajasthan,Section 137,1,299,1,
14-05-2017,07-08-2017,Intentional omission to give information of offence by person bound to inform,Anjani Kumar Mishra,Allahabad,Section 202,5,85,3,
29-01-2017,10-10-2017,House-trespass in order to commit offence punishable with death,A. A. Nakkiran,Madras,Section 449,1,254,3,
13-04-2019,08-12-2019,Unlawful assembly,Krishan Pahal,Allahabad,Section 141,5,239,8,
18-07-2019,11-03-2020,Punishment for house-trespass,Ajit Kumar,Allahabad,Section 448,5,237,14,
14-06-2019,02-11-2019,Sale of printed or engraved substance containing defamatory matter,Rabindranath Samanta,Calcutta,Section 502,5,141,16,
14-04-2020,06-08-2020,Using a false property mark,Ali Mohd. Magrey,Jammu & Kashmir and Ladakh,Section 481,3,114,11,
01-09-2017,04-10-2017,Voyevrism,Sindhu Sharma,Jammu & Kashmir and Ladakh,Section 354 C,5,33,2,
30-07-2017,05-04-2018,Using as true such declaration knowing it to be false,Arindam Mukherjee,Calcutta,Section 200,3,249,2,
26-04-2018,15-07-2019,"Abetment of act of insubordination by soldier, sailor or airman",Amar Nath (Kesharwani),Madhya Pradesh,Section 138,4,445,5,
05-01-2017,03-04-2017,Injuring or defiling place of worship with intent to insult the religion of any class,Harnaresh Singh Gill,Punjab and Haryana,Section 295,1,88,1,
21-03-2019,25-11-2019,Cohabitation caused by a man deceitfully inducing a belief of lawful marriage,Prakash Shrivastava (CJ),Calcutta,Section 493,1,249,9,
12-01-2019,30-01-2020,False personation for purpose of act or proceeding in suit or prosecution,Harminder Singh Madaan,Punjab and Haryana,Section 205,1,383,7,
28-07-2017,18-06-2018,"Forfeiture of property, in respect of offenders punishable with death, transportation or imprisonment",Anoop Chitkara,Punjab and Haryana,Section 62,2,325,5,
25-03-2019,24-02-2020,Force,Satyendra Kumar Singh,Madhya Pradesh,Section 349,2,336,17,
22-09-2019,09-10-2020,Causing death of quick unborn child by act amounting to culpable homicide,Biraja Prasanna Satapathy,Orissa,Section 316,3,383,19,
07-10-2017,08-02-2019,Hurt,Saugata Bhattacharyya,Calcutta,Section 319,3,489,8,
10-05-2017,11-05-2018,Wantonly giving provocation with intent to cause riot-if rioting be committed-if not committed,Sindhu Sharma,Jammu & Kashmir and Ladakh,Section 153,5,366,3,
05-12-2019,21-05-2020,Threat of injury to public servant,Chandrasekharan Kartha Jayachandran,Kerala,Section 189,4,168,15,
08-02-2018,11-06-2019,Hurt,Rajeev Kumar Shrivastava,Madhya Pradesh,Section 319,1,488,11,
28-06-2019,07-01-2020,Harbouring offender who has escaped from custody or whose apprehension has been ordered,Chander Bhusan,Himachal Pradesh,Section 216,2,193,11,
30-08-2017,15-07-2018,Malignant act likely to spread infection of disease dangerous to life,Lanusungkum Jamir,Manipur,Section 270,1,319,5,
25-03-2019,19-08-2019,"Hiring, or conniving at hiring, of persons to join unlawful assembly",Birendra Kumar,Patna,Section 150,3,147,4,
06-03-2020,29-03-2021,Voluntarily causing hurt by dangerous weapons or means,Mauna Manish Bhatt,Gujarat,Section 324,1,388,15,
15-08-2019,15-12-2020,Counterfeiting currency-notes or bank-notes,Ajoy Kumar Mukherjee,Calcutta,Section 489A,5,488,17,
20-02-2019,06-09-2019,Mischief with intent to destroy or make unsafe a decked vessel or one of twenty tons burden,Ajay Mohan Goel,Himachal Pradesh,Section 437,4,198,8,
20-12-2019,03-02-2021,Death caused by act done with intent to cause miscarriage-,Dr. Shameem Akhter,Telangana,Section 314,2,411,15,
17-06-2017,20-10-2018,Disturbing religious assembly,N. Sathish Kumar,Madras,Section 296,4,490,5,
04-10-2017,03-11-2017,"Counterfeiting device or mark used for authenticating documents other than those described in section 467, or possessing counterfeit marked material",Virender Singh,Madhya Pradesh,Section 476,1,30,2,
24-06-2019,21-12-2019,"Abetment of mutiny, if mutiny is committed in consequence thereof",Yashwant Varma,Delhi,Section 132,2,180,10,
29-02-2020,20-06-2021,Using a false property mark,Anil Satyavijay Kilor,Bombay,Section 481,2,477,14,
05-10-2019,16-05-2020,Fraudulently suffering decree for sum not due,Prateek Jalan,Delhi,Section 208,3,224,8,
04-07-2018,13-11-2018,Punishment for rioting,Subhasis Talapatra,Tripura,Section 147,5,132,9,
05-08-2018,12-02-2019,"Act done by a person justified, or by mistake of fact believing himself justified, by law",Sanjay Karol (CJ),Patna,Section 79,5,191,4,
16-03-2020,03-02-2021,"Extortion by threat of accusation of an offence punishable with death or imprisonment for life, etc",Rakesh Srivastava,Allahabad,Section 388,5,324,18,
17-10-2018,05-12-2019,Habitually dealing in stolen property,Sanjay Karol (CJ),Patna,Section 413,1,414,11,
17-01-2019,12-04-2020,"Right of private defence against the act of a person of unsound mind, etc",Manoj Kumar Vyas,Rajasthan,Section 98,3,451,15,
14-07-2018,09-11-2018,"Forfeiture of property, in respect of offenders punishable with death, transportation or imprisonment",Arvind Kumar Mishra,Allahabad,Section 62,5,118,6,
29-05-2018,24-02-2019,Undue influence at elections,Arun Dev Choudhury,Gauhati,Section 171C,2,271,10,
22-03-2019,06-12-2019,Making preparation to commit dacoity,Nani Tagia,Gauhati,Section 399,3,259,13,
01-03-2020,07-11-2020,"Exhibition of false light, mark or buoy",Vaibhavi Devang Nanavati,Gujarat,Section 281,3,251,12,
01-02-2018,24-05-2018,"Theft in dwelling house, etc",R. Mahadevan,Madras,Section 380,3,112,4,
20-01-2020,23-03-2020,Offenders sentenced to transportation how dealt with until transported,Arijit Banerjee,Calcutta,Section 58,4,63,11,
25-04-2017,24-07-2017,Intercourse by public servant with woman is his custody,Pankaj Mithal (CJ),Jammu & Kashmir and Ladakh,Section 376B,1,90,1,
22-06-2019,29-11-2019,"Deliberate and malicious acts, intended to outrage religious feelings or any class by insulting its religion or religious beliefs",Anubha Rawat Choudhary,Jharkhand,Section 295A,3,160,9,
01-05-2019,13-04-2020,Resistance or obstruction by a person to his lawful apprehension,Piyush Agrawal,Allahabad,Section 224,3,348,14,
18-07-2018,25-11-2018,Fractions of terms of punishment,Ananthi Subramanian,Madras,Section 57,3,130,7,
19-12-2017,03-03-2018,Personation of a juror or assessor,Shivashankar Amarannavar,Karnataka,Section 229,2,74,2,
30-03-2019,08-02-2020,Threat of injury to public servant,Pushpa Virendra Ganediwala,Bombay,Section 189,4,315,13,
02-04-2017,06-02-2018,Rash navigation of vessel,Ravi Nath Tilhari,Andhra Pradesh,Section 280,5,310,2,
16-04-2019,07-08-2020,Robbery,Suresh Kumar Kait,Delhi,Section 390,1,479,9,
20-10-2017,10-11-2017,Voluntarily causing grievous hurt,Sadhana Sanjay Jadhav,Bombay,Section 322,4,21,2,
15-11-2019,12-09-2020,Unnatural offences,R. Suresh Kumar,Madras,Section 377,4,302,10,
02-03-2018,18-04-2019,House-trespass in order to commit offence punishable with imprisonment,Vinay Manohar Deshpande,Bombay,Section 451,1,412,9,
07-05-2018,20-01-2019,"Wearing garb or carrying token used by soldier, sailor or airman",Cheekati Manavendranath Roy,Andhra Pradesh,Section 140,5,258,6,
16-01-2017,12-04-2018,Liability of agent of owner of occupier for whose benefit riot is committed,Arvind Srivastava,Patna,Section 156,4,451,2,
25-11-2019,24-10-2020,"Assaulting President, Governor, etc, with intent to compel or restrain the exercise of any lawful power",Senthilkumar Ramamoorthy,Madras,Section 124,1,334,18,
20-10-2017,18-11-2018,House-trespass in order to commit offence punishable with death,Arindam Sinha,Orissa,Section 449,3,394,9,
18-10-2018,13-04-2019,"Preventing service of summons or other proceeding, or preventing publication thereof",Parthivjyoti Saikia,Gauhati,Section 173,4,177,7,
13-07-2017,23-10-2018,Every member of unlawful assembly guilty of offence committed in prosecution of common object,Chandra Dhari Singh,Delhi,Section 149,3,467,4,
11-04-2020,24-09-2020,Amount of fine,Anil Laxman Pansare,Bombay,Section 63,1,166,14,
18-03-2017,11-07-2017,Intercourse by any member of the management or staff of a hospital with any woman in that hospital,Mohammed Ghouse Shukure Kamal,Karnataka,Section 376D,4,115,2,
05-03-2017,06-11-2017,Sentence may be (in certain cases of imprisonment) wholly or partly rigorous or simple,Arun Palli,Punjab and Haryana,Section 60,5,246,1,
06-04-2019,28-10-2019,"Act likely to cause harm, but done without criminal intent, and to prevent other harm",Ajoy Kumar Mukherjee,Calcutta,Section 81,5,205,8,
01-08-2018,16-11-2018,Breach of contract to attend on and supply wants of helpless person,N. Seshasayee,Madras,Section 491,3,107,5,
02-01-2018,25-02-2018,Using as true such declaration knowing it to be false,Sarang Vijaykumar Kotwal,Bombay,Section 200,4,54,5,
04-12-2019,01-01-2020,"Sale, etc, or obscene books, etc",Manish Kumar,Allahabad,Section 292,5,28,13,
13-11-2017,27-02-2019,Fabricating false evidence,Saumitra Dayal Singh,Allahabad,Section 192,3,471,9,
06-06-2017,26-02-2018,Commutation of sentence of death,Lisa Gill,Punjab and Haryana,Section 54,2,265,3,
08-12-2019,10-07-2020,"Aiding escape of, rescuing or harbouring such prisoner",Prabhat Kumar Singh,Patna,Section 130,5,215,10,
11-08-2018,05-11-2019,Housing breaking,Soumen Sen,Calcutta,Section 445,1,451,11,
02-02-2018,13-01-2019,Stolen Property,Ravi Ranjan (CJ),Jharkhand,Section 410,1,345,6,
20-03-2017,15-08-2017,"Kidnapping for ransom, etc",Milind Narendra Jadhav,Bombay,Section 364A,3,148,2,
21-09-2019,25-11-2020,Public servant unlawfully buying or bidding for property,R. Mahadevan,Madras,Section 169,1,431,12,
09-12-2018,14-04-2020,"Punishment of abetment if the act abetted is committed in consequence, and where no express provision is made for its punishment",Sameer Jain,Allahabad,Section 109,5,492,20,
27-12-2018,09-07-2019,"Delivery of Indian coin, possessed with knowledge that it is counterfeit",Gannamaneni Ramakrishna Prasad,Andhra Pradesh,Section 240,3,194,8,
07-02-2020,23-04-2020,All persons jointly concerned in lurking house-trespass or house-breaking by night punishable where death or grievous hurt caused by one of them,Chakradhari Sharan Singh,Patna,Section 460,4,76,9,
14-10-2018,15-10-2019,"Fraudulent cancellation, destruction, etc, of will, authority to adopt, or valuable security",Ajay Bhanot,Allahabad,Section 477,5,366,12,
27-01-2019,05-03-2019,Sale of noxious food or drink,Virendrasingh Gyansingh Bisht,Bombay,Section 273,2,37,7,
13-10-2019,26-08-2020,Making a false mark upon any receptacle containing goods,Saturghana Pujahari,Orissa,Section 487,2,318,11,
07-05-2018,26-01-2019,Act of a person of unsound mind,Ajit Kumar,Allahabad,Section 84,4,264,7,
03-01-2017,11-04-2018,Limit of solitary confinement,Hethur Puttaswamygowda Sandesh,Karnataka,Section 74,1,463,4,
30-10-2019,10-02-2021,Sedition,Rashmin Manharbhai Chhaya,Gujarat,Section 124A,5,469,16,
03-04-2017,15-02-2018,Negligent conduct with respect to fire or combustible matter,Gautam Chourdiya,Chhattisgarh,Section 285,2,318,3,
22-09-2017,05-01-2018,Abetting commission of offence by the public or by more than ten persons,Rohit Ranjan Agarwal,Allahabad,Section 117,5,105,3,
25-02-2018,05-03-2019,Dishonestly or fraudulently preventing debt being available for creditors,Lisa Gill,Punjab and Haryana,Section 422,3,373,4,
27-10-2018,04-03-2020,Malignant act likely to spread infection of disease dangerous to life,Manju Rani Chauhan,Allahabad,Section 270,1,494,11,
20-04-2018,31-07-2019,Using evidence known to be false,Prateek Jalan,Delhi,Section 196,1,467,7,
25-06-2017,08-12-2017,"Promoting enmity between different groups on grounds of religion, race, place of birth, residence, language, etc, and doing acts prejudicial to maintenance of harmony",Subrata Talukdar,Calcutta,Section 153A,5,166,1,
22-01-2019,19-02-2019,Attempt to commit robbery or dacoity when armed with deadly weapon,Potlapalli Keshava Rao,Telangana,Section 398,4,28,12,
15-09-2017,01-11-2017,Theft,Ravi Ranjan (CJ),Jharkhand,Section 378,5,47,1,
17-10-2017,21-01-2018,Concealment of birth by secret disposal of dead body,Ravi Ranjan (CJ),Jharkhand,Section 318,1,96,3,
22-08-2019,11-11-2020,Voluntarily causing grievous hurt,Arun Bhansali,Rajasthan,Section 322,1,447,20,
25-02-2018,07-11-2018,"Delivery of Indian coin, possessed with knowledge that it is altered",Partha Sarthy,Patna,Section 251,1,255,6,
19-12-2018,30-06-2019,Using as genuine a forged document or electronic record,Devan Ramachandran,Kerala,Section 471,1,193,9,
14-03-2019,15-06-2020,Continuance of nuisance after injunction to discontinue,Vinay Gajanan Joshi,Bombay,Section 291,2,459,10,
15-07-2018,12-10-2019,Forgery for purpose of harming reputation,Sandeep Moudgil,Punjab and Haryana,Section 469,2,454,7,
22-04-2017,28-05-2017,"Abetment of such assault, if the assault is committed",Sanjay Kumar,Patna,Section 134,5,36,1,
11-02-2019,31-07-2019,Resistance or obstruction by a person to his lawful apprehension,Satyen Vaidya,Himachal Pradesh,Section 224,5,170,9,
10-12-2018,08-01-2019,Omission to produce document or electronic record to public servant by person legally bound to produce it,Mauna Manish Bhatt,Gujarat,Section 175,3,29,8,
28-01-2017,04-03-2017,Wrongful confinement in secret,Karamjit Singh,Punjab and Haryana,Section 346,1,35,1,
10-12-2018,28-03-2019,Unlawful compulsory labour,Manthoj Ganga Rao,Andhra Pradesh,Section 374,5,108,9,
10-03-2020,11-07-2021,Rape,Nitin Wasudeo Sambre,Bombay,Section 375,4,488,15,
11-03-2017,28-04-2017,Continuance of nuisance after injunction to discontinue,Siddharth Mridul,Delhi,Section 291,4,48,1,
